HTML
"<p>I didn't like Tom when I met him, but ___ time we became friends.</p>",1,one,
,<p>on</p>
,<p>at</p>
*,<p>in</p>
<p>Do it right away! Do it ___ once!</p>,1,one,
,<p>on</p>
*,<p>at</p>
,<p>in</p>
<p>We bought these clothes ___ sale.</p>,1,one,
*,<p>on</p>
,<p>at</p>
,<p>in</p>
<p>There are lots of handsome men ___ the navy.</p>,1,one,
,<p>on</p>
,<p>at</p>
*,<p>in</p>
<p>Hey didn't see you ___ Julie's party. what's your name?</p>,1,one,
,<p>on</p>
*,<p>at</p>
,<p>in</p>
<p>I usually don't work ___ weekends.</p>,1,one,
*,<p>on</p>
,<p>at</p>
,<p>in</p>
"<p>I know you're my friend, but ___ times you behave like you weren't.</p>",1,one,
,<p>on</p>
*,<p>at</p>
,<p>in</p>
<p>She has everything under control. She is ___ top of things.</p>,1,one,
*,<p>on</p>
,<p>at</p>
,<p>in</p>
<p>There was a fire ___ one of the empty apartaments.</p>,1,one,
,<p>on</p>
,<p>at</p>
*,<p>in</p>
"<p>I have very bad vision, especially ___ night.</p>",1,one,
,<p>on</p>
*,<p>at</p>
,<p>in</p>
