HTML
<p>We didn't study French last year. We ________English.</p>,1,one,
*,<p>studied </p>
,<p>used to study </p>
<p>When did you begin to work yesterday? - After dinner. We _________ little work.</p>,1,one,
,<p>used to have</p>
*,<p>had </p>
"<p>The weather __________ good, and we and our friends went to the park.</p>",1,one,
,<p>used to be</p>
*,<p>was</p>
<p>Where ________you an hour ago?</p>,1,one,
*,<p>were</p>
,<p>used to be</p>
"<p>I _________her the day before yesterday, and she told me about this.</p>",1,one,
,<p>used to meet</p>
*,<p>met</p>
<p>Now she avoids to go there as often as she ________.</p>,1,one,
,<p>used to</p>
*,<p>was</p>
"<p>Personally, I think you speak English better than you ________.</p>",1,one,
,<p>were</p>
*,<p>used to</p>
"<p>Now he doesn't smoke at all, because his health is bad, but he ______ a chain-smoker.</p>",1,one,
*,<p>used to be</p>
,<p>was</p>
"<p>He began to study French, and in his childhood he _________English with a tutor.</p>",1,one,
,<p>studied </p>
*,<p>used to study </p>
<p>He __________quite a well-off man.</p>,1,one,
*,<p>used to be </p>
,<p>was</p>
<p>I __________ apple juice but then I had an allergy on it.</p>,1,one,
,<p>drank </p>
*,<p>used to drink</p>
<p>He __________ English but then he moved to Spain.</p>,1,one,
*,<p>used to study</p>
,<p>studied </p>
