HTML
<p>Jim wasn't surprised by what I said. He wasn't shocked by what I said. </p><p>Jim__________________________ .</p>,1,,
*,was neither surprised nor shocked by what I said
<p>Carol doesn't have a car. She also doesn't have a motorbike.</p><p>Carol______________________ .</p>,1,,
*,has neither a car nor a motorbike
<p>Al doesn't play tennis. He doesn't watch it on TV.</p><p>Al_____________________________ . </p>,1,,
*,neither plays tennis nor watches it on TV
<p>The manager wasn't very helpful. The receptionist wasn't very helpful. </p><p>Neither______________________ .  </p>,1,,
*,the manager nor the receptionist was very helpful
*,the manager nor the receptionist were very helpful
<p>Pauline couldn't read until she was seven. She also couldn't write until she was seven. </p><p>Pauline_______________________ . </p>,1,,
*,could neither read nor write until she was seven
<p>I haven't been to Poland before. Boris hasn't been to Poland before.</p><p>Neither_______________ .</p>,1,,
*,I nor Boris has been to Poland before
*,I nor Boris have been to Poland before
