HTML
<p>There are lots of people_____________the restaurant. </p>,1,one,
,<p>on </p>
*,<p>in</p>
,<p>at</p>
<p>The people who live____________number 44 are away on holiday. </p>,1,one,
,<p>on </p>
,<p>in</p>
*,<p>at</p>
<p>You should go to the Louvre when you're_________Paris. </p>,1,one,
,<p>on </p>
*,<p>in</p>
,<p>at</p>
<p>Gorillas live__________forests in Africa and eat fruit. </p>,1,one,
,<p>on </p>
*,<p>in </p>
,<p>at</p>
<p>What does that sign____________the way say? </p>,1,one,
*,<p>on </p>
,<p>in </p>
,<p>at</p>
<p>What did Ethan say____________his letter? </p>,1,one,
,<p>on </p>
*,<p>in </p>
,<p>at</p>
<p>Have you heard of the strange statues___________Easter Island? </p>,1,one,
*,<p>on </p>
,<p>in </p>
,<p>at</p>
<p>Do you really want to spend the whole day___________the beach? </p>,1,one,
*,<p>on </p>
,<p>in </p>
,<p>at</p>
