HTML
<p>Things are ___ now than they used to be.</p>,1,one,
*,<p>both are ok</p>
,<p>busier</p>
,<p>more busy</p>
<p>He is ___ about this than I am.</p>,1,one,
*,<p>more nervous</p>
,<p>nervouser</p>
,<p>both are ok</p>
"<p>I liked this movie, although I found it a bit ___ than his last film.</p>",1,one,
*,<p>duller</p>
,<p>more dull</p>
,<p>both are OK</p>
<p>Mary wears her white skirt ___ than (she wears) her blue one.</p>,1,one,
,<p>oftener</p>
,<p>more often </p>
*,<p>both are ok</p>
<p>This test is ___ than the last one.</p>,1,one,
,<p>simpler</p>
,<p>more simple </p>
*,<p>both are ok</p>
<p>Which one is ___?</p>,1,one,
*,<p>better</p>
,<p>more good</p>
,<p>both are ok</p>
<p>This is much ___.</p>,1,one,
*,<p>more important </p>
,<p>importanter</p>
,<p>both are ok</p>
<p>My brother is ___ than I am.</p>,1,one,
,<p>more wealthy</p>
,<p>wealthier</p>
*,<p>both are ok</p>
<p>This sounds a bit.</p>,1,one,
,<p>naturaler</p>
,<p>both are ok</p>
*,<p>more natural</p>
<p>This trip was ___ than the last one.</p>,1,one,
*,<p>more fun </p>
,<p>funner</p>
,<p>both are ok</p>
