HTML
<p>They ________ watched TV in summer. (иногда)</p>,1,many,
*,sometimes
,<p>often</p>
<p>It snows only ________ a month in winter. (два раза)</p>,1,many,
*,twice
,<p>two times</p>
<p>______ ______ times do you go to the theatre? (сколько)</p>,1,many,
,<p>Нow often</p>
*,<p>How many</p>
<p>______ ______ do you read newspapers? (как часто)</p>,1,many,
*,Нow often
,<p>How many</p>
<p>How long does it take from here to your house ___ ______? (на машине)</p>,1,one,
*,by car
,<p>by bus</p>
<p>How long does it take ______ to get from here to the station? (нам)</p>,1,one,
*,us
,<p>them</p>
<p>How long does it take _______ to have breakfast? (им)</p>,1,one,
*,them
,<p>they</p>
<p>How long _____ ____ ______ you to paint a picture? (present simple)</p>,1,one,
*,does it take
,<p>do you take</p>
<p>It took me ________ to come back there. (десять минут)</p>,1,one,
*,ten minutes
,<p>twelve minutes</p>
<p>It _______ me one day to make a box. (present simple)</p>,1,one,
*,takes
,<p>take</p>
<p>How long does it _______ you to drive home usually?</p>,1,one,
*,take
,<p>takes</p>
<p>I have lived here ______ two years. </p>,1,one,
*,<p>for</p>
,<p>since</p>
<p>I _____ (not to see) you since college.</p>,1,one,
,<p>hasn't seen</p>
*,<p>haven't seen</p>
,<p>haven't saw</p>
<p>Steven has been a worker ____ he left school. </p>,1,one,
,<p>for</p>
*,<p>since</p>
<p>I _____ (have) these books for 15 years.</p>,1,one,
,<p>has had</p>
,<p>has have</p>
*,<p>have had</p>
<p>She has ______ seen this film.</p>,1,one,
,<p>ever</p>
,<p>yet</p>
*,<p>already</p>
