HTML
<p>It's about time you ________ thinking about setting up your own business.</p>,1,one,
,<p>start</p>
,<p>have started</p>
*,<p>started</p>
,<p>to start</p>
<p>I'd really rather you ________ the kids drop bits of pizza all over my new sofa.</p>,1,one,
,<p>don't let</p>
,<p>aren't letting</p>
,<p>won't let</p>
*,<p>didn't let</p>
<p>________ anything particular in mind or are you just browsing?</p>,1,one,
*,<p>Did you have</p>
,<p>Are you having</p>
,<p>Can you have</p>
,<p>Had you had</p>
<p>I wish Karen ________ that we're not trying to interfere in her life.</p>,1,one,
,<p>understands</p>
*,<p>would understand</p>
,<p>has understood</p>
,<p>is going to understand</p>
<p>I'd have been able to say goodbye to Trish if only ________ to the airport in time.</p>,1,one,
,<p>I get</p>
,<p>I got</p>
,<p>I have got</p>
*,<p>I had got</p>
<p>Don't you sometimes wish you ________ invisible?</p>,1,one,
*,<p>could be</p>
,<p>would be</p>
,<p>will be</p>
,<p>are</p>
<p>Suppose we ________ we could go and live on another planet. Would you want to go?</p>,1,one,
,<p>to hear</p>
,<p>hearing</p>
*,<p>heard</p>
,<p>having heard</p>
<p>Do you wish ________ an official complaint?</p>,1,one,
,<p>making</p>
*,<p>to make</p>
,<p>you made</p>
,<p>you make</p>
<p>Adrian was ________ enough money to buy a new computer for the school.</p>,1,one,
,<p>wishing to have raised</p>
,<p>wishing he will raise</p>
*,<p>hoping to have raised</p>
,<p>hoping he will raise</p>
<p>Don't you wish we ________ the exam a week on Monday and not tomorrow?</p>,1,one,
,<p>take</p>
,<p>will take</p>
,<p>would take</p>
*,<p>were taking</p>
