HTML
<p>My family ___ in Moscow.</p>,1,one,
*,<p>lives</p>
,<p>is living</p>
,<p>lived</p>
<p>Yesterday we ___ volleyball.</p>,1,one,
,<p>don't play</p>
,<p>aren't playing</p>
*,<p>didn't play</p>
<p>Pete and Paul ___ now.</p>,1,one,
,<p>wash</p>
*,<p>are washing</p>
,<p>washed</p>
<p>Now Jane ___ to be a teacher.</p>,1,one,
*,<p>wants</p>
,<p>is wanting</p>
,<p>wanted</p>
<p>We ___ our Mother every day.</p>,1,one,
*,<p>help</p>
,<p>are helping</p>
,<p>helped</p>
<p>She ___ at 8 o'clock.</p>,1,one,
*,<p>dresses</p>
,<p>is dressing</p>
,<p>dressed</p>
<p>My parents ___ me yesterday.</p>,1,one,
,<p>thank</p>
,<p>is thanking</p>
*,<p>thanked</p>
<p>Look! She ___ with a kitten.</p>,1,one,
,<p>plays</p>
*,<p>is playing</p>
,<p>played</p>
<p>We ___ last week.</p>,1,one,
,<p>ski</p>
,<p>are skiing</p>
*,<p>skied</p>
<p>Your friends ___ to see you yesterday.</p>,1,one,
,<p>want</p>
,<p>are wanting</p>
*,<p>wanted</p>
