HTML
"<p>""Have you had your ear pierced?""</p><p>My mum asked me if___________________________ .</p>",1,,
*,I had had my ear pierced
"<p>""Can I meet you there at six o'clock tonight, Doug?""</p><p>Julian wanted to know whether____________________________ .</p>",1,,
*,he could meet Doug there at six o'clock that night
"<p>""Are you still moving to Blackpool next week?""</p><p>Fiona asked Rod and Jenny whether______________________ .</p>",1,,
*,they were still moving to Blackpool the following week
*,they were still moving to Blackpool the following next week
"<p>""Does Graham have to wear a suit to work?""</p><p>I asked Mrs Daley if Graham________________________________ .</p>",1,,
*,has to wear a suit to work
*,had to wear a suit to work
"<p>""Do you want someone to feed your cat while you're away?""</p><p>Jan asked me if ________________________ .</p>",1,,
*,I wanted someone to feed my cat while I was away
*,I want someone to feed my cat while I am away
"<p>""Can you guess what I've given Lindsay for her birthday?""</p><p>Daisy asked Wendy if________________________________ .</p>",1,,
*,she could guess what she'd given Lindsay for her birthday
*,she could guess what she's given Lindsay for her birthday
"<p>""Do you love me or not, Gloria?""</p><p>Fred asked Gloria whether________________________ .</p>",1,,
*,she loves him or not
*,she loved him or not
"<p>""Will Simon be coming to the party tomorrow night?""</p><p>Adrian wondered whether________________________ .</p>",1,,
*,Simon would be coming to the party the following night
*,Simon would be coming to the party the following next night
"<p>""Tell me if you were anywhere near 34 Aylesford Street last night!""</p><p>The police officer demanded to know whether Sykes___________________________________ .</p>",1,,
*,had been anywhere near 34 Aylesford Street the previous night
*,had been anywhere near 34 Aylesford Street the night before
