HTML
"<p>If__________(you/do) your homework last night, you'd know the answer to this question!</p>",1,,
*,you'd done
<p>We___________(not/stand) by the side of the road at the moment trying to get a lift if_________(we/bring) a spare tyre with us. </p>,1,,
*,wouldn't be standing
*,we'd brought
"<p>If I____________(not/stay up) so late last night, I______________(not/feel) so tired this morning!</p>",1,,
*,hadn't stayed up
*,wouldn't feel
*,be feeling
*,have felt
<p>____________(I/be) in terrible trouble right now if you_____________(not/help) me.</p>,1,,
*,I'd be
*,hadn't helped
*,weren't helping
"<p>If I had a video recorder,_____________(I/record) the match last night.</p>",1,,
*,I'd have recorded
<p>____________(I/ask) for Andy's phone number when I met him if I_____________(not/already/have) a boyfriend!</p>,1,,
*,I'd have asked
*,didn't already have
"<p>If Cody_____________(not/live) so far away, he__________(not/be) so late to the barbecue yesterday.</p>",1,,
*,didn't live
*,wouldn't have been
<p>Tracy___________(not/need) extra lessons last month if she_________(be) as good as you are.</p>,1,,
*,wouldn't have needed
*,was
*,were
<p>____________(you/got) a job when you left school if the university ___________(not/offer) you a place?</p>,1,,
*,Would you have got
*,hadn't offered
"<p>If you_____________(have) as much money as she does,____________(you/retire) by now?</p>",1,,
*,had
*,would you have retired
