HTML
<p> </p>,~1,,
,<p>I saw a light in your window ...</p>,<p>... as I was passing.</p>
,<p>She took me to her mother's ...</p>,<p>... where they were expecting me to have lunch together.</p>
,<p>Yesterday at 9 o'clock ...</p>,<p>... was walking towards the local post office.</p>
,<p>She looked out of the window and saw ...</p>,<p>... it was still raining heavily.</p>
,<p>He was the captain of the ship ...</p>,<p>... which was sailing to Dover.</p>
,<p>I was working in the garden ...</p>,<p>... when he came.</p>
,<p>While I was waiting for an answer ...</p>,<p>... the telephone rang.</p>
,<p>He suddenly realised ...</p>,<p>... he was going the wrong direction.</p>
,<p>When he awoke ...</p>,<p>... his wife was still sleeping.</p>
,"<p>He closed the window, drew the curtains over ...</p>",<p>... switched off the lights and went upstairs.</p>
