HTML
"<p>Write the letter on the computer, then you can make changes ----- on screen.</p>",1,one,
,<p>easy</p>
*,<p>easily</p>
,<p>most easy</p>
<p>----- said than done.</p>,1,one,
,<p>Easy </p>
,<p>More easier</p>
*,<p>Easier</p>
<p>She has just bought a zippy new computer that should enable her to work -----.</p>,1,one,
,<p>more efficient</p>
*,<p>more efficiently</p>
,<p>most efficient</p>
<p>He chose his words -----.</p>,1,one,
,<p>most careful</p>
,<p>carefullier</p>
*,<p>most carefully</p>
<p>We'll have to walk ----- to get there on time.</p>,1,one,
,<p>more quick</p>
*,<p>more quickly</p>
,<p>the quickest</p>
<p>Light travels ----- than sound.</p>,1,one,
*,<p>faster</p>
,<p>fast</p>
,<p>fastly</p>
<p>Nowadays the police have to take any terrorist threat ----- than ever.</p>,1,one,
,<p>most seriously</p>
,<p>seriously</p>
*,<p>more seriously</p>
<p>Soap kills germs ----- in warm water.</p>,1,one,
,<p>most efficient</p>
*,<p>most efficiently</p>
,<p>efficienter</p>
"<p>Of all the students in the class, Espen studies -----.</p>",1,one,
*,<p>the hardest</p>
,<p>hard</p>
,<p>harder</p>
<p>Cheetahs run ----- out of all animals.</p>,1,one,
*,<p>the fastest</p>
,<p>the faster</p>
,<p>fast</p>
<p>The snail moves ----- of all creatures.</p>,1,one,
,<p>more slow</p>
,<p>slowly</p>
*,<p>the most slowly</p>
<p>The boy behaved -----.</p>,1,one,
,<p>calm</p>
,<p>more calm</p>
*,<p>calmly</p>
