HTML
<p>Teachers _________ work in summer.</p>,1,one,
,<p>have to</p>
*,<p>don't have to</p>
,<p>mustn't</p>
<p>I ___________ copy the text.</p>,1,one,
*,<p>have to</p>
,<p>has to</p>
,<p>have</p>
<p>I __________ buy fish today.</p>,1,one,
*,<p>don't have to</p>
,<p>didn't have to</p>
,<p>doesn't have to</p>
<p>_____ you have to go to bed at 10.00 every day?</p>,1,one,
,<p>did</p>
*,<p>do</p>
,<p>must</p>
<p>I _________ wear a uniform at school.</p>,1,one,
*,<p>must</p>
,<p>have to</p>
,<p>had to</p>
<p>He __________ learn the poem by heart tomorrow.</p>,1,one,
,<p>must</p>
,<p>have to</p>
*,<p>will have to</p>
<p>You _________ cross the road at a red light.</p>,1,one,
*,<p>mustn't</p>
,<p>don't have to</p>
,<p>haven't </p>
<p>_____  you have to go to school on Saturdays? </p>,1,one,
,<p>must</p>
*,<p>do</p>
,<p>did</p>
<p>We __________ go out at night.</p>,1,one,
,<p>must</p>
*,<p>mustn't</p>
,<p>don't have to</p>
<p>I have done homework. I ___________ write any exercises today.</p>,1,one,
,<p>must</p>
,<p>mustn't</p>
*,<p>don't have to</p>
