HTML
<p>Question</p>,~1,norightshuffle,
,<p>You live in a village. </p>,<p>don't you? </p>
,<p>You're not fifteen years old. </p>,<p>are you?</p>
,<p>Carol has a maths test tomorrow. </p>,<p>doesn't she? </p>
,<p>They were having lunch at the time. </p>,<p>weren't they? </p>
,<p>You've been to France. </p>,<p>haven't you? </p>
,<p>I'm not the only one. </p>,<p>am I? </p>
,<p>They all passed the test. </p>,<p>didn't they? </p>
,<p>You haven't seen Linda anywhere. </p>,<p>have you? </p>
,<p>She won't tell anyone else. </p>,<p>will she? </p>
,<p>This is the right DVD. </p>,<p>isn't it? </p>
