HTML
<p>I have no _____ friends but you.</p>,1,one,
,<p>the other</p>
*,<p>other</p>
,<p>another</p>
<p>Young Martin had been sent on _____ errand to the grocer.</p>,1,one,
,<p>the other</p>
,<p>other</p>
*,<p>another</p>
<p>At first we were in one room and then we went into _____ room.</p>,1,one,
,<p>the other</p>
,<p>other</p>
*,<p>another</p>
<p>The insurance offices were on _____ side of the street.</p>,1,one,
*,<p>the other</p>
,<p>other</p>
,<p>another</p>
"<p>He pulled on _____ glove and said that, though it was late, he would run along to his office.</p>",1,one,
*,<p>the other</p>
,<p>other</p>
,<p>another</p>
<p>I must find myself _____ job.</p>,1,one,
,<p>the other</p>
,<p>other</p>
*,<p>another</p>
"<p>""We can do as well as _____ people"", my aunt said.</p>",1,one,
,<p>the other</p>
*,<p>other</p>
,<p>another</p>
<p>He said that he would ring Charles up as soon as he got home. Then he talked of _____ things all the way.</p>,1,one,
,<p>the other</p>
*,<p>other</p>
,<p>another</p>
"<p>Some children like milk chocolate, _____ children prefer plain chocolate.</p>",1,one,
,<p>the other</p>
*,<p>other</p>
,<p>another</p>
<p>When I returned home I found my wife talking to our neighbor. _____ guests had gone.</p>,1,one,
*,<p>the other</p>
,<p>other</p>
,<p>another</p>
