HTML
<p>Workers _____ the new roads by the end of this year.</p>,1,one,
,<p>will complete</p>
*,<p>will have completed</p>
<p>Everybody _____ anxiously as the new buildings go up.</p>,1,one,
,<p>will have been watching</p>
*,<p>will be watching</p>
<p>We _____ never _____ the heroes who gave their lives for our country.</p>,1,one,
*,<p>will ... forget</p>
,<p>would ... forget</p>
<p>He  _____ to London next day.</p>,1,one,
,<p>will have gone</p>
*,<p>will be going</p>
<p>By the end of the year I _____ five English books.</p>,1,one,
*,<p>will have read</p>
,<p>will read</p>
<p>Don't ring her up at three o'clock. She _____ a letter to her mum.</p>,1,one,
*,<p>will be writing</p>
,<p>will write</p>
<p>At this time tomorrow the girls _____ the X-mas tree.</p>,1,one,
,<p>will decorate</p>
*,<p>will be decorating</p>
<p>I expect we _____ problems with bad weather.</p>,1,one,
*,<p>'ll have</p>
,<p>are going to have</p>
<p>When you get back we _____ .</p>,1,one,
,<p>will have travelled</p>
*,<p>will be travelling</p>
<p>This time next week we _____ down Costa del Sol.</p>,1,one,
,<p>are going to travel</p>
*,<p>will be travelling</p>
<p>He _________a letter for 2 hours when I come.</p>,1,one,
,<p>will be writing</p>
*,<p>will have been writing</p>
<p>The tourists will not have returned by sunset tomorrow.</p>,1,one,
,<p>will be returning</p>
*,<p>will not have returned</p>
