HTML
<p>I _____ Becky on Monday.</p>,1,one,
,<p>see</p>
*,<p>am seeing</p>
<p>She _____ 100 kilos. She eats too much.</p>,1,one,
*,<p>weighs</p>
,<p>is weighing</p>
<p>Don't disturb me. I _____ to music.</p>,1,one,
,<p>listen</p>
*,<p>am listening</p>
<p>You _____ great.</p>,1,one,
,<p>look</p>
*,<p>are looking</p>
<p>I _____ he can drive a car.</p>,1,one,
*,<p>think</p>
,<p>am thinking</p>
<p>Laura _____ two cars.</p>,1,one,
*,<p>has</p>
,<p>is having</p>
<p>I _____ from Spain.</p>,1,one,
*,<p>come</p>
,<p>is coming</p>
<p>She _____ vanilla ice cream. It's delicious.</p>,1,one,
,<p>tastes</p>
*,<p>is tasting</p>
<p>He _____ a very polite person.</p>,1,one,
*,<p>is</p>
,<p>is being</p>
<p>Why _____ these cakes?</p>,1,one,
,<p>do you smell</p>
*,<p>are you smelling</p>
