HTML
<p>I asked my teacher ___ me again.</p>,1,one,
,<p>try</p>
*,<p>to try</p>
,<p>will try</p>
<p>At the Zoo I saw a lot of ___.</p>,1,one,
,<p>fishes and animals</p>
*,<p>fish and animals</p>
,<p>fishes and animal</p>
<p>January comes ___ December.</p>,1,one,
,<p>before</p>
*,<p>after</p>
,<p>behind</p>
<p>_________ to the Black Sea?</p>,1,one,
*,<p>Does she often go</p>
,<p>Did she often go</p>
,<p>Is she often going</p>
<p>It's the first of August. It will be autumn next ___.</p>,1,one,
,<p>week</p>
*,<p>month</p>
,<p>year</p>
"<p>What _______? I think, it's an elephant.</p>",1,one,
*,<p>does he draw</p>
,<p>is he drawing</p>
,<p>did he draw</p>
<p>Some of us ___ not think it's right.</p>,1,one,
,<p>are</p>
*,<p>do</p>
,<p>does</p>
<p>How ___ mittens have you got? </p>,1,one,
*,<p>many</p>
,<p>much</p>
,<p>a lot of</p>
<p>My granny brought some ___.</p>,1,one,
*,<p>fruits and vegetables</p>
,<p>fruits and vegetable</p>
,<p>fruit and vegetables</p>
