HTML
<p>David_________ the text now. </p>,1,one,
*,<p> is writing</p>
,<p> are writing</p>
,<p> writing</p>
<p>I _________ my new beautiful dress now </p>,1,one,
,<p>ia wearing</p>
,<p>are wearing </p>
*,<p>am wearing</p>
<p>Granny ________a cake now. </p>,1,one,
,<p>making</p>
*,<p>is making </p>
,<p>are making</p>
<p>Mum isn't cooking _________ . </p>,1,one,
*,<p>now</p>
,<p>always</p>
,<p>usually </p>
<p>He is drinking milk __________ .</p>,1,one,
,<p>yesterday</p>
*,<p>at the moment</p>
,<p>sometimes</p>
<p>We ________shopping now. </p>,1,one,
*,<p>are doing </p>
,<p>is doing</p>
,<p>doing </p>
<p>My cat _______with a ball now.</p>,1,one,
,<p>are playing</p>
,<p>playing</p>
*,<p>is playing </p>
<p>The children _________ their toys into the box now. </p>,1,one,
*,<p>aren't putting</p>
,<p>isn't putting </p>
,<p>putting</p>
<p>It _______ now. </p>,1,one,
,<p>aren't raining </p>
,<p>not raining</p>
*,<p>isn't raining</p>
<p>My parents _________to the cinema now.</p>,1,one,
*,<p>aren't going </p>
,<p>isn't going </p>
,<p>not going</p>
<p>___ he ____ at the door now?</p>,1,one,
,<p>are / knocking</p>
*,<p>Is / knocking</p>
,<p>knocking</p>
<p>You _______ fish-soup now?</p>,1,one,
*,<p>Are you cooking</p>
,<p>Is you cooking</p>
,<p>You cooking</p>
