HTML
<p>Rhonda says a raw food diet</p>,1,one,
,<p>food must remain completely cold </p>
*,<p>chicken can't be included </p>
,<p>the concepts are difficult to understand </p>
<p>What was Rhonda's diet routine like before she switched to a raw food diet?</p>,1,one,
,<p>Very similar to now</p>
,<p>Extremely unhealthy</p>
*,<p>Much more traditional </p>
<p>Including beans in a row food diet</p>,1,one,
*,<p>requires certain preparation </p>
,<p>is impossible </p>
,<p>is not advisable </p>
<p>What difficultly does Rhonda mention with preparing raw foods? </p>,1,one,
*,<p>The length of time required</p>
,<p>The lack of recipe choice</p>
,<p>The difficulty in obtaining good flavour</p>
<p>Rhonda says freezing foods</p>,1,one,
*,<p>changes the nutritional value</p>
,<p>ruins the food </p>
,<p>is a necessary step </p>
<p>What is true about rhonda as a result of her raw food diet?</p>,1,one,
,<p>She feels better mentally </p>
,<p>She regrets her decision </p>
*,<p>She feels more active</p>
<p>Rhonda thinks it's terrible that</p>,1,one,
,<p>so few people follow a raw food diet</p>
,<p>it's so difficult to follow a row food diet</p>
*,<p>some people eat only cooked foods</p>
