HTML
<p>I ________ help my mother today. I promised her.</p>,1,one,
,<p>must</p>
,<p>should</p>
*,<p>ought to</p>
<p>Everybody________come to school on time.</p>,1,one,
,<p>should</p>
*,<p>must</p>
,<p>ought to</p>
<p>You ________not argue with the boss.</p>,1,one,
,<p>should</p>
,<p>ought to</p>
*,<p>must</p>
<p>He ______ apologize to her.</p>,1,one,
,<p>should</p>
*,<p>ought to</p>
,<p>must</p>
<p>You ________ take an umbrella. It's raining.</p>,1,one,
*,<p>should</p>
,<p>ought to</p>
,<p>must</p>
<p>You _____ not park here.</p>,1,one,
,<p>ought to</p>
*,<p>must</p>
,<p>should</p>
<p>You _____ not talk in class.</p>,1,one,
,<p>should</p>
,<p>ought to</p>
*,<p>must</p>
<p>Your child___________know and do his duties at the expected time.</p>,1,one,
,<p>should</p>
*,<p>ought to</p>
,<p>must</p>
"<p>Forgive him, I think we ________ give the boy a second chance.</p>",1,one,
*,<p>should</p>
,<p>ought to</p>
,<p>must</p>
<p>The weather _______not to be cold in July. </p>,1,one,
,<p>should</p>
*,<p>must</p>
,<p>ought to</p>
<p>We don't have much time. We _____ be at the meeting at 3 sharp.</p>,1,one,
,<p>ought to</p>
,<p>should</p>
*,<p>must</p>
<p>You ______ take care of your sick pet.</p>,1,one,
*,<p>ought to</p>
,<p>should</p>
,<p>must</p>
