HTML
<p>I really don't feel like__________out tonight. Do you?</p>,1,one,
*,<p>going</p>
,<p>to go</p>
<p>Everyone expected his business____________within the first few months. </p>,1,one,
,<p>failing </p>
*,<p>to fail</p>
<p>What would you like___________this evening?</p>,1,one,
,<p>doing</p>
*,<p>to do </p>
<p>We discussed___________the attic into a spare bedroom with the architect. </p>,1,one,
*,<p>turning </p>
,<p>to turn </p>
<p>She wasn't able__________very crealy after her accident. </p>,1,one,
,<p>speaking</p>
*,<p>to speak </p>
"<p>Do you mind_________your car, please? You're blocking the road.</p>",1,one,
*,<p>moving</p>
,<p>to move </p>
<p>They're going to postpone__________a decision until next month. </p>,1,one,
*,<p>making </p>
,<p>to make </p>
<p>Are you planning_____________a new DVD player?</p>,1,one,
,<p>of getting </p>
*,<p>to get</p>
<p>Are you thinking____________PlayStation? </p>,1,one,
*,<p>of getting </p>
,<p>to get</p>
<p>I'm very pleased___________you that you've passed!</p>,1,one,
,<p>telling</p>
*,<p>to tell</p>
<p>Sarah's offered__________us up for the weekend.</p>,1,one,
,<p>putting </p>
*,<p>to put</p>
<p>I'm really looking forward__________on the cruise. </p>,1,one,
*,<p>to going </p>
,<p>to go</p>
