HTML
<p>I had_______a bad time in prison that I never want to go there again.</p>,1,one,
,<p>too</p>
,<p>so</p>
*,<p>such</p>
,<p>quite</p>
<p>One problem is that we don't have__________officers on the streets. </p>,1,one,
,<p>so a lot of</p>
,<p>too many</p>
*,<p>enough</p>
,<p>such many</p>
<p>I can't get a car yet because I'm not________to drive.</p>,1,one,
,<p>enough old </p>
,<p>quite old</p>
,<p>so old</p>
*,<p>old enough</p>
<p>Some crimes seem to be________in this country than in others. </p>,1,one,
*,<p>much less common </p>
,<p>the least common </p>
,<p>too little common</p>
,<p>little common enough</p>
<p>Police blamed the robberies_______a local gang. </p>,1,one,
,<p>with</p>
*,<p>on</p>
,<p>for</p>
,<p>to</p>
<p>My grandma says there was________a lot of crime when she was young that nobody trusted anybody else. </p>,1,one,
,<p>too</p>
,<p>so</p>
*,<p>such</p>
,<p>quite </p>
<p>It became_________as I walked home and I began to get slightly nervous.</p>,1,one,
,<p>enough dark </p>
,<p>such dark </p>
*,<p>quite dark</p>
,<p>so dark enough</p>
