HTML
<p>How long ----- each other before they became true friends?</p>,1,one,
,<p>did they know</p>
,<p>were they knowing</p>
*,<p>had they known</p>
<p>Her car ----- down on the way to college.</p>,1,one,
*,<p>broke</p>
,<p>was breaking</p>
,<p>had broken </p>
<p>They ----- their future plans when their parents joined them.</p>,1,one,
,<p>discussed</p>
*,<p>were discussing</p>
,<p>had discussed</p>
<p>Why ----- you put off your homework until the last minute?</p>,1,one,
,<p>had</p>
,<p>were</p>
*,<p>did</p>
"<p>By the time I finished high school, I ----- on my future career path.</p>",1,one,
,<p>already decided</p>
,<p>was already decide</p>
*,<p>had already decided</p>
<p>We ----- a movie when the power went out.</p>,1,one,
*,<p>were watching</p>
,<p>watched</p>
,<p>had watched</p>
<p>I ----- it that he ----- my birthday.</p>,1,one,
,<p>hadn’t liked; forgot</p>
*,<p>didn’t like; had forgotten</p>
,<p>hadn’t liked; was forgetting</p>
<p>He ----- playing the guitar at that moment.</p>,1,one,
,<p>hadn’t given up</p>
,<p>weren’t giving up</p>
*,<p>didn’t give up</p>
"<p>Before taking the final exam, I ----- all the material thoroughly.</p>",1,one,
*,<p>had reviewed</p>
,<p>did reviewed</p>
,<p>was reviewed</p>
<p>Rachel ----- out the window when she saw something unusual.</p>,1,one,
,<p>stared</p>
*,<p>was staring</p>
,<p>had stared</p>
<p>He ----- three languages by the age of six.</p>,1,one,
,<p>was mastering</p>
*,<p>had mastered</p>
,<p>master</p>
"<p>While I ----- ready for bed, the doorbell rang.</p>",1,one,
*,<p>was getting</p>
,<p>got</p>
,<p>had got</p>
