HTML
<p>I saw her ... into the building.</p>,1,one,
,<p>to come </p>
,<p>coming</p>
*,<p>come</p>
<p>I believed you ... three mobile phones.</p>,1,one,
*,<p>to have </p>
,<p>having</p>
,<p>have</p>
<p>He made me ... the window.</p>,1,one,
,<p>to close</p>
,<p>closing</p>
*,<p>close</p>
<p>I saw them ... in the park.</p>,1,one,
,<p>to play</p>
*,<p>playing</p>
,<p>play</p>
<p>She believes Mark ... a good guy.</p>,1,one,
*,<p>to be</p>
,<p>being</p>
,<p>been</p>
<p>I saw you ... in the park. Everybody liked it!</p>,1,one,
,<p>to dance</p>
*,<p> dance</p>
,<p>to dancing</p>
<p>Mr. Smith saw his friends ... the classroom.</p>,1,one,
,<p>to leave</p>
,<p>to leaving</p>
*,<p>leave</p>
<p>His mum wants him ... his homework.</p>,1,one,
*,<p>to do</p>
,<p>doing</p>
,<p>do</p>
<p>Shh! I hear someone ... .</p>,1,one,
,<p>to cry</p>
*,<p>crying</p>
,<p>cry</p>
<p>He can’t make me ... this!</p>,1,one,
,<p>to do</p>
,<p>doing</p>
*,<p>do</p>
<p>I like him ... this task so well.</p>,1,one,
*,<p>to do</p>
,<p>doing</p>
,<p>do</p>
<p>His mum allowed him … home late tonight.</p>,1,one,
*,<p>to come</p>
,<p>coming</p>
,<p>come</p>
<p>Mr. Brown would like his son ... a surgeon.</p>,1,one,
*,<p>to become</p>
,<p>becoming</p>
,<p>become</p>
<p>I want my son ... more languages.</p>,1,one,
*,<p>to learn</p>
,<p>learning</p>
,<p>learn</p>
<p>Don’t let him ... you.</p>,1,one,
,<p>to fool</p>
,<p>fooling</p>
*,<p>fool</p>
<p>I expect the weather ... good today.</p>,1,one,
*,<p>to be</p>
,<p>being</p>
,<p>be</p>
<p>I heard her ... a famous English song.</p>,1,one,
,<p>to sing</p>
*,<p>singing</p>
,<p>sing</p>
