HTML
<p>You … eat the soup if you don’t want to.</p>,1,one,
*,<p>don't have to </p>
,<p>haven't to</p>
,<p>hasn't</p>
<p>We … run. We have plenty of time before the concert.</p>,1,one,
,<p>haven't to</p>
*,<p>don't have to </p>
,<p>mustn't </p>
<p>You … pay now. You can pay online later.</p>,1,one,
,<p>haven't to</p>
,<p>mustn't </p>
*,<p>don't have to </p>
<p>This museum is free. We … buy any tickets.</p>,1,one,
*,<p>don't have to </p>
,<p>haven't to</p>
,<p>mustn't </p>
<p>Why does she _______ be careful with that phone?</p>,1,one,
,<p>has to </p>
*,<p>have to</p>
,<p>must</p>
<p>Why do you _______ get up early tomorrow?</p>,1,one,
,<p>has to </p>
*,<p>have to</p>
,<p>must</p>
<p>Why do you always ________ stay at home?</p>,1,one,
*,<p>have to</p>
,<p>has to </p>
,<p>must</p>
<p>What do you always ______ learn something by heart?</p>,1,one,
,<p>has to </p>
*,<p>have to</p>
,<p>must</p>
<p> Football players ___________ train hard. </p>,1,one,
,<p>has to </p>
,<p>must</p>
*,<p>have to</p>
<p>My little brother ___________ go to bed early. </p>,1,one,
*,<p>has to </p>
,<p>must</p>
,<p>have to</p>
<p>Students ___________ work hard at college. </p>,1,one,
,<p>has to </p>
*,<p>have to</p>
,<p>must</p>
<p>My mom _______work today. </p>,1,one,
*,<p>has to </p>
,<p>have to</p>
,<p>must</p>
