HTML
<p>Where (to be) they yesterday?</p>,1,one,
,<p>was</p>
*,<p>were</p>
<p>10. I (to play) computer games yesterday.</p>,1,one,
,<p>play</p>
*,<p>played</p>
,<p>plays</p>
<p>I (not to know) what to give my brother for his birthday. </p>,1,one,
*,<p>don't know</p>
,<p>am not knowing</p>
,<p>doesn't know</p>
<p>I (to finish) my homework by seven o’clock.</p>,1,one,
,<p>finish</p>
,<p>finished</p>
*,<p>had finished</p>
"<p>""Jack may go to the party with Alice"", said Hazel. Hazel said Jack _____ to the party with Alice.</p>",1,one,
,<p>can go</p>
,<p>may go</p>
*,<p>might go</p>
<p>... you ... (to see) any good movies recently?</p>,1,one,
,<p>are/being</p>
*,<p>Have/seen</p>
,<p>do/be</p>
<p>He is taller than ...</p>,1,one,
,<p>mine</p>
*,<p>me</p>
,<p>my</p>
<p>He __________ a book the whole evening yesterday.</p>,1,one,
,<p>read</p>
*,<p>was reading</p>
,<p>were reading</p>
<p>It _________be very difficult to learn Chinese.</p>,1,one,
,<p>ought to</p>
,<p>should</p>
*,<p>must</p>
"<p>Kate, _____ sister I used to share a house with, has gone to work in Australia.</p>",1,one,
*,<p>whose</p>
,<p>that</p>
,<p>where</p>
<p>I never do anything until I have checked everything ________</p>,1,one,
*,<p>myself</p>
,<p>yourself</p>
,<p>himself</p>
<p>He avoided ... the same mistake again.</p>,1,one,
,<p>make</p>
*,<p>making</p>
,<p>makes</p>
<p>I (to wait) for you a long time.</p>,1,one,
,<p>waited</p>
*,<p>have been waiting</p>
,<p>have waited</p>
<p>There was ... beautiful flower in this ... vase yesterday.</p>,1,one,
*,<p>a/-</p>
,<p>an/-</p>
,<p>the/-</p>
"<p>If it (to rain), we will have to stay at home.</p>",1,one,
*,<p>rains</p>
,<p>will rain</p>
,<p>would rain</p>
<p>They were (thrill) by his news.</p>,1,one,
,<p>thrill</p>
,<p>thrilling</p>
*,<p>thrilled</p>
<p>Your cat is ____ lazy.</p>,1,one,
*,<p>so</p>
,<p>such</p>
,<p>what</p>
