HTML
<p>By 6 o’clock the rain _____</p>,1,one,
*,<p>had stopped</p>
,<p>stopped</p>
,<p>stop</p>
<p>We _____ tea at 5 o’clock.</p>,1,one,<p>Type explanation here...</p>
,<p>had</p>
*,<p>were having</p>
,<p>was having</p>
<p>They _____ at the hotel since May.</p>,1,one,<p>Type explanation here...</p>
*,<p>had been staying</p>
,<p>have been staying</p>
,<p>stayed</p>
<p>I ____ in the country last summer.</p>,1,one,<p>Type explanation here...</p>
,<p>had lived</p>
,<p>didn't lived</p>
*,<p>didn't live</p>
<p>Lara ______ with my pen for a week </p>,1,one,<p>Type explanation here...</p>
*,<p>hadn’t been writing</p>
,<p>hadn't writing</p>
,<p>didnt live</p>
<p>_____ he constantly missing the first class?</p>,1,one,<p>Type explanation here...</p>
,<p>had</p>
*,<p>was</p>
,<p>were</p>
"<p>Ким танцевала, когда ее муж открыл дверь </p>",1,one,<p>Type explanation here...</p>
*,<p>Kim was dancing when her husband opened the door.</p>
,<p>Kim danced when her husband opened the door.</p>
,<p>Kim had danced when her husband opened the door.</p>
<p>Я не знал Марка всю свою жизнь.</p>,1,one,<p>Type explanation here...</p>
,<p>I haven't know Mark all my life</p>
,<p>I wasn't known Mark all my life </p>
*,<p>I hadn’t known Mark all my life</p>
"<p>Я делал уроки, когда ты позвонил. </p>",1,one,<p>Type explanation here...</p>
,<p>I had doing my homework when you phoned.</p>
*,<p>I was doing my homework when you phoned.</p>
,<p>I had been doing my homework when you phoned.</p>
<p>Они мыли окна прошлой весной?</p>,1,one,<p>Type explanation here...</p>
*,<p>Did they wash their windows last spring?</p>
,<p>Did they washed their windows last spring?</p>
,<p>Were they washed their windows last spring?</p>
<p>Я написал его портрет к 9 часам.</p>,1,one,<p>Type explanation here...</p>
*,<p>I had painted his portrait by 9 o’clock </p>
,<p>I was painting his portrait by 9 o’clock </p>
,<p>I had been painting his portrait by 9 o’clock </p>
<p>Они поливали цветы в то время как он пришел?</p>,1,one,<p>Type explanation here...</p>
,<p>Had they been watering the flowers as he came in?</p>
*,<p>Were they watering the flowers as he came in?</p>
,<p>Did they watered the flowers as he came in?</p>
