HTML
<p>They (to find) themselves on the shore of a large lake an hour ago.</p>,1,one,
,<p>founded</p>
*,<p>found</p>
,<p>finded</p>
<p>Next summer I ______ get up at 7 every Sunday.</p>,1,one,
*,<p>will have to</p>
,<p>have to</p>
,<p>had to</p>
<p>Tom (to return) from the cinema by five o’clock.</p>,1,one,
,<p>returns</p>
*,<p>had returned</p>
,<p>returned</p>
"<p>They said to him, “What time does the train leave?” - They asked him what time the train_________ . </p>",1,one,
,<p>had left</p>
,<p>leave</p>
*,<p>left</p>
<p>Have you already ____________ tomorrow's weather forecast?</p>,1,one,
,<p>hear</p>
*,<p>heard</p>
,<p>hears</p>
"<p>If you have a passion, you will be definitely _______ in life.</p>",1,one,
,<p>succeed</p>
*,<p>successful</p>
,<p>success</p>
<p>He __________ meet me at the train station.</p>,1,one,
,<p>should</p>
,<p>must</p>
*,<p>ought</p>
<p>I bought a new car ... is very fast.</p>,1,one,
,<p>whose</p>
,<p>who</p>
*,<p>that</p>
<p>Mike is (tall) Pete.</p>,1,one,
*,<p>as tall as</p>
,<p>taller</p>
,<p>the tallest</p>
<p>I refused ______ my question.</p>,1,one,
*,<p>to answer</p>
,<p>answering</p>
,<p>answer</p>
<p>I hope you didn't hurt _______.</p>,1,one,
,<p>myself</p>
*,<p>yourself</p>
,<p>himself</p>
<p>He (to write) books since he was a young man.</p>,1,one,
,<p>have written </p>
*,<p>has been writing </p>
,<p>wrote</p>
<p>When does your mother leave ... home for work?</p>,1,one,
*,<p>-</p>
,<p>the</p>
,<p>a</p>
"<p>If I (to tell) her how beautiful she is, she (be) pleased.</p>",1,one,
*,<p>told/would be</p>
,<p>tell/would be</p>
,<p>told/be</p>
<p>We went out ______ the rain.</p>,1,one,
*,<p>in spite of</p>
,<p>unless</p>
,<p>however</p>
<p>This bone (to give) to my dog tomorrow.</p>,1,one,
*,<p>will be given</p>
,<p>will give</p>
,<p>was given</p>
<p>I (to go) drink coffee with Mary.</p>,1,one,
,<p>are going to</p>
*,<p>am going to</p>
,<p>go</p>
