HTML
<p> </p>,~1,,
,<p>When my father retired ...</p>,<p>... we went to live in a little town.</p>
,<p>You were very busy ...</p>,<p>... when I saw you two days ago.</p>
,<p>I'm glad to see you ...</p>,<p>... I've heard much about you.</p>
,<p>I didn't see her ...</p>,<p>... when I was in London.</p>
,<p>Helen gave me her new book but ...</p>,<p>... I haven't had a chance to read it.</p>
,<p>He nodded ...</p>,<p>... and went upstairs.</p>
,<p>She has not been out since ...</p>,<p>... she bought the VCR.</p>
,<p>We saw them ...</p>,<p>... at Mariinski Theatre on Sunday.</p>
,<p>I can't go to the pictures because ...</p>,<p>... I haven't done my homework yet.</p>
,<p>I haven't been to Moscow since ...</p>,<p>... we came to St Petersburg.</p>
