HTML
"<p>If a burgal breaks into your house, always hand___________your valuables. </p>",1,one,
,<p>after</p>
,<p>into </p>
,<p>of </p>
,<p>on </p>
,<p>out</p>
*,<p>over</p>
<p>I ran_______an old friend at the supermarket yesterday. </p>,1,one,
,<p>after</p>
*,<p>into </p>
,<p>of </p>
,<p>on </p>
,<p>out</p>
,<p>over</p>
"<p>We ran out_________milk, so can you buy some when you're at the supermarket/</p>",1,one,
,<p>after</p>
,<p>into </p>
*,<p>of </p>
,<p>on </p>
,<p>out</p>
,<p>over</p>
<p>my brother and his friends hang________at the shopping centre on Saturdays. </p>,1,one,
,<p>after</p>
,<p>into </p>
,<p>of </p>
,<p>on </p>
*,<p>out</p>
,<p>over</p>
<p>I saw two policemen running_______a robber. </p>,1,one,
*,<p>after</p>
,<p>into </p>
,<p>of </p>
,<p>on </p>
,<p>out</p>
,<p>over</p>
<p>His sister and her friends hang________at the harbour at weeknds. </p>,1,one,
,<p>after</p>
,<p>into </p>
,<p>of </p>
,<p>on </p>
*,<p>out</p>
,<p>over</p>
"<p>I've run out___________bread, so I'll buy some after work. </p>",1,one,
,<p>after</p>
,<p>into </p>
*,<p>of </p>
,<p>on </p>
,<p>out</p>
,<p>over</p>
"<p>If a burglar breaks into your flat, you should hand_______your money. </p>",1,one,
,<p>after</p>
,<p>into </p>
,<p>of </p>
,<p>on </p>
,<p>out</p>
*,<p>over</p>
<p>She saw a policemen running_________a robber</p>,1,one,
*,<p>after</p>
,<p>into </p>
,<p>of </p>
,<p>on </p>
,<p>out</p>
,<p>over</p>
<p>Tom ran_________an old friend when he was at the shopping centre.</p>,1,one,
,<p>after</p>
*,<p>into </p>
,<p>of </p>
,<p>on </p>
,<p>out</p>
,<p>over</p>
