HTML
<p>I’m sure her new hairstyle ----- different from the previous one.</p>,1,one,
,<p>will not being</p>
*,<p>will not be</p>
,<p>will not have been</p>
<p>----- with her injury by the competition?</p>,1,one,
*,<p>Will she have coped</p>
,<p>Will she be coping</p>
,<p>Will she cope</p>
"<p>By the end of the week, they ----- on their vacation destination.</p>",1,one,
*,<p>will have decided</p>
,<p>will be deciding</p>
,<p>will decide</p>
<p>The success ----- on luck alone.</p>,1,one,
,<p>will not be depending</p>
*,<p>will not depend</p>
,<p>will not have depended</p>
"<p>By the end of the academic year, students ----- their vocabulary by three thousand new words.</p>",1,one,
*,<p>will have expanded</p>
,<p>will expand</p>
,<p>will be expanding</p>
"<p>Don’t call tomorrow, we ----- a few of our neighbours.</p>",1,one,
,<p>will have entertained</p>
,<p>will entertain</p>
*,<p>will be entertaining</p>
<p>The university ----- scholarships to top students.</p>,1,one,
,<p>will offering</p>
*,<p>will offer</p>
,<p>will have offered</p>
<p>----- the new initiative?</p>,1,one,
,<p>Will the principal supports</p>
,<p>Will the principal have supported</p>
*,<p>Will the principal support</p>
"<p>This time next week, I ----- the wonders of Bali.</p>",1,one,
*,<p>will be exploring</p>
,<p>will explore</p>
,<p>will have explored</p>
<p>What time ----- at the hotel?</p>,1,one,
*,<p>will we be arriving</p>
,<p>will we have arrived</p>
,<p>will we be arrive</p>
<p>I ----- for standing up for my classmates.</p>,1,one,
,<p>won’t have apologised</p>
*,<p>won’t apologise</p>
,<p>won’t apologising</p>
"<p>Owing to the new surveillance equipment, students ----- during the exam.</p>",1,one,
,<p>will not have cheat</p>
*,<p>will not be cheating</p>
,<p>will cheat</p>
