HTML
<p>I have got _______ sweets. </p>,1,one,
,<p>much</p>
*,<p>a lot of</p>
<p>I have got_______juice.</p>,1,one,
,<p>many</p>
*,<p>a lot of</p>
<p>She has got________apples. </p>,1,one,
,<p>much</p>
*,<p>a lot of</p>
<p>There aren't _______ oranges in the fridge. </p>,1,one,
,<p>much</p>
*,<p>many</p>
,<p>a lot of</p>
<p>There are_________pineapples in the box.</p>,1,one,
,<p>much</p>
*,<p>a lot of</p>
<p>We haven't got_______olive oil. </p>,1,one,
*,<p>much</p>
,<p>many</p>
<p>How________milk do you want in your coffee? </p>,1,one,
*,<p>much</p>
,<p>many</p>
,<p>a lot of</p>
<p>How_______sweets are there on the table? </p>,1,one,
,<p>much</p>
*,<p>many</p>
,<p>a lot of</p>
<p>How_________bread do you buy every day? </p>,1,one,
*,<p>much</p>
,<p>many</p>
,<p>a lot of</p>
<p>I want_________fruits. </p>,1,one,
,<p>much</p>
*,<p>a lot of</p>
<p>She has got__________ice cream. </p>,1,one,
,<p>many</p>
*,<p>a lot of</p>
<p>They haven't got________salt</p>,1,one,
*,<p>much</p>
,<p>many</p>
