HTML
<p>I wish today_____________never happened!</p>,1,one,
,<p>has</p>
*,<p>had</p>
"<p>If only I_____________start the day again, I'd do everything differently. </p>",1,one,
*,<p>could </p>
,<p>would </p>
<p>I really wish I___________done that! </p>,1,one,
,<p>haven't </p>
*,<p>hadn't </p>
<p>I also wish I_____________nearer the Earth. </p>,1,one,
,<p>live </p>
*,<p>lived</p>
<p>It takes such a long time to get there from Mars especially when the traffic is bad. _______________I_____________a faster spaceship. </p>,1,one,
*,<p>If only/had</p>
,<p>Only if/have </p>
,<p>Only if/had</p>
,<p>If only/have</p>
"<p>Because I really wanted to look at the aliens in the Super Alien Zoo. Oh, I wish______________that. </p>",1,one,
,<p>didn't say </p>
*,<p>hadn't said </p>
"<p>Why am I so stupid? I_____________now that I'd never applied for the job in the first place, </p>",1,one,
*,<p>wish </p>
,<p>hope</p>
<p>I'm sure I won't get the job. I just____________tomorrow is better than today was. </p>,1,one,
,<p>wish </p>
*,<p>hope</p>
