HTML
<p>  </p>,~1,,
,<p>He told me that ...</p>,<p>... I was being waited by Mr Palmer.</p>
,<p>Foreign books are sold ...</p>,<p>... in the nearest shop.</p>
,<p>This is the story ...</p>,<p>... of how they were deceived.</p>
,<p>John was brought up ...</p>,<p>... by his uncle.</p>
,<p>The pools ...</p>,<p>... were being cleaned.</p>
,<p>I suspect that ...</p>,<p>... I have been followed for the last week.</p>
,<p>Our work must be finished ...</p>,<p>... as soon as possible.</p>
,<p>The men ...</p>,<p>... have been arrested by the police.</p>
,<p>I was given ...</p>,<p>... three hours to do the job.</p>
,<p>He entered the room ...</p>,<p>... without being seen.</p>
