HTML
"<p>Кто несет ответственность, если пассажир не пристегнут ремнем безопасности?</p>",1,one,
*,<p>Водитель</p>
,<p>Пассажир</p>
,<p>Водитель и пассажир</p>
,<p>Никто</p>
<p>В каком транспортном средстве есть подушка безопасности?</p>,1,one,
,<p>Электричка</p>
,<p>Самолет</p>
,<p>Поезд</p>
*,<p>Автомобиль</p>
<p>В каких транспортных средствах предусмотрены ремни безопасности?</p>,1,one,
*,<p>В автомобиле и самолете</p>
,<p>В самолете и на теплоходе</p>
,<p>В автомобиле и поезде</p>
,<p>В поезде и на теплоходе</p>
<p>Почему нельзя прислоняться к дверям метро или электрички?</p>,1,one,
,<p>можно испачкаться о грязные двери</p>
,<p>загораживаем другим пассажирам проход</p>
*,<p>можно выпасть</p>
,<p>так принято в транспорте</p>
<p>Где в автомобиле находится самое безопасное место для пассажира?</p>,1,one,
,<p>По центру заднего сиденья</p>
,<p>На заднем сиденье по диагонали от водителя</p>
,<p>На переднем сиденье</p>
*,<p>На заднем сиденье за водителем</p>
<p>До какого возраста дети должны ездить в автомобиле в специальном кресле?</p>,1,one,
,<p>до 11 лет</p>
*,<p>до 12 лет</p>
,<p>до 10 лет</p>
,<p>до 14 лет</p>
"<p>В случае пожара в движущемся вагоне поезда метро, необходимо:</p>",~1,many,
,<p>Глубоко дышать</p>
,<p>неподвижно сидеть</p>
*,<p>сообщить машинисту по переговорному устройству о запахе дыма или возгорании</p>
*,<p>перейти в неохваченную часть вагона</p>
,<p>постараться выйти из вагона</p>
"<p>Согласно правилам Росавиации разрешается брать в салон самолета не более 1 литра жидкостей, причем объем каждой жидкости должен быть не более 100 мл. При этом жидкостью также считаются:</p>",~1,many,
*,<p>Крем</p>
*,<p>Сгущенка</p>
*,<p>детское питание</p>
*,<p>медикаменты</p>
,<p>пустые емкости</p>
,<p>хлеб</p>
*,<p>сыр</p>
"<p>При поездке на эскалаторе метро из сумки выпали мелкие предметы. Чтобы их собрать, нужно:</p>",1,one,
*,"<p>При сходе на платформу обратиться к дежурному с просьбой остановить эскалатор, чтобы собрать все предметы</p>"
,<p>После спуска эскалатора собрать все вещи с пола</p>
<p>Где разрешается размещать ручную кладь пассажиру во время перелета?</p>,~1,many,
,<p>под своими ногами</p>
,<p>в проходе справа от сиденья</p>
*,<p>под сиденьем впереди стоящего кресла</p>
*,"<p>на полке, расположенной над местом пассажира</p>"
,<p>в руках</p>
"<p>Какой знак обозначает пешеходный переход, по которому можно переходить дорогу?<img class=""fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2025-03-21/3dc674cd-3974-4d91-a8b5-0bd266d35d46-1.22.png"" style=""width: 160px;""/><img class=""fr-fil fr-dib"" src=""https://testmozusercontent.com/ugc/2025-03-21/14e8d1c5-7b43-473a-8a87-2702bcee2b68-shop-items-catalog-image2125.png"" style=""width: 163px;""/></p><p><br/></p>",1,one,
,<p>Красный</p>
*,<p>Синий</p>
,<p>Оба</p>
<p>В каких местах пешеходу запрещено переходить дорогу?</p>,~1,many,
,"<p>В местах, где дорога идет на подъем</p>"
,<p>На крутых поворотах</p>
,<p>Около туннелей и мостов</p>
,"<p>В случае, когда ограничен обзор</p>"
*,<p>Во всех перечисленных случаях</p>
<p>Какая основная обязанность пассажира в транспортном средстве?</p>,1,one,
,<p>Занять свое место</p>
*,<p>Не отвлекать водителя</p>
,<p>Не пользоваться мобильным телефоном</p>
,<p>Не слушать музыку в наушниках</p>
,<p>Не спать</p>
<p>Что нельзя делать на электросамокате?</p>,~1,many,
*,<p>Кататься без использования защитных средств</p>
*,<p>Кататься вдвоем</p>
,<p>Кататься одному</p>
,<p>Спешиваться при переходе через дорогу</p>
*,<p>Проезжать на самокате через пешеходный переход</p>
*,<p>Разгоняться сверхустановленной скорости</p>
*,<p>Сбивать пешеходов</p>
,<p>Кататься на исправном самокате</p>
"<p>При отсутствии тротуара, пешеходных дорожек, велодорожек или обочин пешеходы могут передвигаться по проезжей части:</p>",1,one,
,<p>По центру дороги</p>
,<p>По центру полосы по пути движения автомобилей </p>
,<p>По краю проезжей части по пути движения автомобилей</p>
*,<p>По краю проезжей части навстречу движения автомобилей</p>
,<p>По центру полосы навстречу движения автомобилей</p>
