HTML
<p>Are there ______ lights on the tree?</p>,1,one,
,<p>some</p>
*,<p>any</p>
<p>There's ______ jam on the wooden table.</p>,1,one,
*,<p>some</p>
,<p>any</p>
<p>Is there  ______ bread in the basket?</p>,1,one,
,<p>some</p>
*,<p>any</p>
<p>There aren't  ______ vegetables in the fridge.</p>,1,one,
*,<p>any</p>
,<p>some</p>
<p>I have got__________carrots in the garden. </p>,1,one,
,<p>much </p>
*,<p>a lot of</p>
<p>I needn't________plums to make a pie. </p>,1,one,
,<p>much </p>
*,<p>many </p>
<p>There isn't________ water in the bottle. </p>,1,one,
*,<p>much </p>
,<p>many </p>
,<p>a lot of</p>
<p>He has got_________peaches. </p>,1,one,
,<p>much </p>
*,<p>a lot of</p>
"<p>If you want to make pancakes, you need _______ eggs.</p>",~1,one,
,<p>a little</p>
*,<p>a few</p>
<p> He's got very _______ friends.</p>,1,one,
*,<p>few</p>
,<p>little</p>
"<p>We have______ tomatoes, we can't cook tomato-soup.</p>",1,one,
*,<p>few</p>
,<p>little</p>
<p>Can you buy _______ apples?</p>,1,one,
,<p>little</p>
*,<p>a few</p>
