HTML
<p>I (to write) an English exercise at this time yesterday.</p>,1,one,
*,<p>was writing</p>
,<p>is writing </p>
,<p>were writing </p>
<p>My little sister (to sleep) at this time yesterday.</p>,1,one,
,<p>were sleeping </p>
,<p>is sleeping </p>
*,<p>was sleeping </p>
<p>My friends (not to do) their homework at seven o’clock yesterday. They (to play) volleyball.</p>,1,one,
*,<p>weren't doing/were playing </p>
,<p>wasn't doing/ was playing </p>
,<p>didn't do/played</p>
"<p>You (to drink) tea at this time yesterday?— No, I (not to drink) tea at this time yesterday, I (to eat) a banana.</p>",1,one,
,<p>Did you drink/didn't drink/eat </p>
*,<p>Were you drinking/wasn't drinking/ was eating </p>
,<p>Are you drinking/am not drinking/ ate</p>
<p>She (to read) the whole evening yesterday.</p>,1,one,
,<p>read </p>
*,<p>was reading </p>
,<p>is reading </p>
<p>You (to eat) ice cream when I rang you up yesterday?</p>,1,one,
*,<p>Were you eating </p>
,<p>Are you eating </p>
,<p>Did you eat </p>
<p>What your father (to do) from eight till nine yesterday?</p>,1,one,
*,<p>What was your father doing </p>
,<p>What were your father doing</p>
,<p>What is your father doing</p>
<p>I (to go) to the cinema at four o’clock yesterday.</p>,1,one,
,<p>were going </p>
*,<p>was going </p>
,<p>am going</p>
<p>I (to do) my homework the whole evening yesterday.</p>,1,one,
,<p>were doing </p>
*,<p>was doing </p>
,<p>am doing </p>
<p>I (not to do) my homework from five till eight yesterday.</p>,1,one,
*,<p>wasn't doing </p>
,<p>am not doing </p>
,<p>weren't doing</p>
<p>I (not to play) the piano at four o’clock yesterday.</p>,1,one,
,<p>weren't playing </p>
*,<p>wasn't playing </p>
,<p>am not playing </p>
<p>He (not to sleep) when father came home.</p>,1,one,
*,<p>wasn't sleeping </p>
,<p>weren't sleeping </p>
,<p>isn't sleeping </p>
