HTML
<p>This is_________bag. </p>,1,one,<p>Type explanation here...</p>
,<p>Charlie</p>
,<p>Charlies'</p>
*,<p>Charlie's</p>
<p>This is my__________house. </p>,1,one,
,<p>uncles'</p>
*,<p>uncle's</p>
,<p>uncle </p>
<p>These_________flowers are beautiful.</p>,1,one,
*,<p>girls'</p>
,<p>girl's </p>
,<p>girls</p>
<p>The__________cars are parked there. </p>,1,one,
,<p>mens'</p>
,<p>men</p>
*,<p>men's</p>
<p>There are _________dresses in this shop </p>,1,one,
*,<p>women's</p>
,<p>womens'</p>
,<p>women </p>
<p>All________ classes are big.</p>,1,one,
,<p>student's</p>
,<p>students</p>
*,<p>students'</p>
<p>My _________sister is my aunt. </p>,1,one,
*,<p>dad's</p>
,<p>dads'</p>
,<p>dad</p>
<p>________ work is good.</p>,1,one,
,<p>Cathy</p>
*,<p>Cathy's</p>
,<p>Cathys'</p>
<p>My ________ room is upstairs. </p>,1,one,
*,<p>grandfather’s</p>
,<p>grandfathers'</p>
,<p>grandfather </p>
<p>That ________ eyes are green. </p>,1,one,
,<p>cat</p>
,<p>cats'</p>
*,<p>cat's</p>
<p>This is ______ watch. </p>,1,one,
*,<p>Tony's</p>
,<p>Tonys' </p>
,<p>Tony</p>
<p>My ________ birthdays are in June. </p>,1,one,
,<p>brother's</p>
*,<p>brothers'</p>
,<p>brothers </p>
